date,day_of_the_week,daily_step_count,academic_homework_load,sleep,caffeine_intake,weather_high,weather_low,precipitation,stress_HRV,stress_RHR,perceived_stress_level
4/20/26,Monday,7222,5,7.1,65,72,50,none,23,75,2
4/21/26,Tuesday,7619,6,7.3,50,68,49,light,29,72,2
4/22/26,Wednesday,13364,3,6.9,0,74,52,none,27,72,3
4/23/26,Thursday,7062,9,7.1,100,74,50,none,32,72,3
4/24/26,Friday,9170,7,6.8,90,72,51,none,27,72,3
4/25/26,Saturday,2314,8,7.7,10,63,47,light,35,70,4
4/26/26,Sunday,12837,1.5,6.4,80,64,48,none,30,68,2
4/27/26,Monday,5352,7.5,7.7,50,67,48,none,28,69,4
4/28/26,Tuesday,6818,3.5,6.6,65,72,46,none,31,69,2
4/29/26,Wednesday,12264,7.5,6.6,60,74,51,none,25,71,3
4/30/26,Thursday,7827,6,7,65,70,53,none,35,70,4
5/1/26,Friday,11785,5,6.9,65,65,54,none,35,69,2
5/2/26,Saturday,3776,8,7.8,50,63,53,none,41,68,3
5/3/26,Sunday,11781,0,5.9,115,65,48,none,35,68,1
5/4/26,Monday,7501,4,9,30,66,52,none,36,68,1
5/5/26,Tuesday,9729,4.5,7.3,30,69,50,none,38,67,2
5/6/26,Wednesday,13892,5,6.9,65,70,52,none,27,69,4
5/7/26,Thursday,6894,8,6.3,30,68,54,none,29,71,3
5/8/26,Friday,12246,6,6.9,90,64,51,none,34,71,2
5/9/26,Saturday,5770,9,7.1,0,63,52,none,33,71,1
5/10/26,Sunday,12061,0,6.3,115,63,53,none,36,71,1
5/11/26,Monday,11599,6,7.3,25,62,53,none,30,73,1
5/12/26,Tuesday,7519,6,6.9,30,61,57,none,26,73,1
5/13/26,Wednesday,14851,6.5,7.3,90,68,52,none,32,73,1
5/14/26,Thursday,10650,2,6.9,30,65,50,none,37,72,1
5/15/26,Friday,15924,2,6.9,80,63,49,none,34,72,1
5/16/26,Saturday,5270,8,6.3,45,70,50,none,42,71,4
5/17/26,Sunday,12876,0,6.6,180,68,52,none,38,71,2
5/18/26,Monday,8377,5,8,60,74,53,none,25,73,3
5/19/26,Tuesday,6000,6,6.9,80,77,57,none,39,72,1
